"fincode","year_end","net_profit","net_sales_ttm","net_sales_2yr","interest_earned_growth_percentage_cons_3year","net_profit_growth_percentage_cons_3year","operating_profit_growth_percentage_cons_3year","profit_after_tax_growth_percentage_cons_3year","profit_before_tax_growth_percentage_cons_3year","eps_growth_percentage_cons_3year","net_sales_growth_percentage_cons_3year","operating_profit_margin_growth_percentage_cons_3year","net_margin_growth_percentage_cons_3year"
106395,202103,"2054.71","24085.239999999998","14181.95",NULL,"24.333531558996224","9.073922443751492","15.626890447811292","15.15986351833687","15.689399630977597","19.308579812297012","-42.40794287481779","-39.13499124191363"
209979,202103,"930.6","1684.78","1067.91",NULL,"32.97594676092499","18.05329744623414","20.92480453497434","21.38250278380096","-52.03763663165621","16.413366445112242","-36.116571332343085","-35.49013324334885"
123391,202103,"5.679","599.9300000000001","303.48",NULL,"-66.66634057421619","-17.770674876466963","-51.92470078579987","-65.87166920201331","-55.070085463590715","25.503788212854396","-58.72526206490517","-75.88520660297992"
190065,202103,"73.92","741.1600000000001","531.53",NULL,"20.16788412497432","7.830793467422015","13.029622262671037","10.918417751847965","11.805430595003784","11.719263429940296","-39.19657078581217","-36.373929119502755"
217015,202103,"42.64","296.394","228.91",NULL,"-21.31470877952848","-1.12564974197924","-14.769368879097778","-13.046447471663159","-86.92689009295248","8.993738070835345","-42.8526542942002","-50.96617579413072"
300391,202103,"33.003","163.583","33.28",NULL,"119.81957196003057","55.935103002985606","69.06131339305578","65.51840816674566","68.74888896880948","70.02715330177341","-42.22386131943762","-37.68197375573404"
132800,202003,"-166.85","8975.97","5174.94",NULL,NULL,NULL,NULL,NULL,NULL,"20.150437870022508",NULL,NULL
119570,201503,NULL,NULL,"616.94",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106414,202103,"-24.009","335.662","377.29",NULL,NULL,"-30.67711359367801",NULL,NULL,NULL,"-3.8220252352493933","-54.59393305084623",NULL
238007,202103,"59.383","559.405","327.07",NULL,"42.0000239125736","26.246081324987646","26.335560556759674","23.653782940188407","-11.759006569591712","19.590095019540566","-33.4976411946218","-33.36958827766323"
100878,202103,"471.37","13217.87","7609.60",NULL,"4.4211210901546005","15.856541146880732","2.926111993265468","9.962550174940677","3.039132582342474","20.207956922913972","-39.28434577231308","-45.98613465548802"
220884,202103,"74.08","2123.4","1321.95",NULL,"-28.267744863043585","7.334945623772193","-19.86732210697062","-15.970280105701573","-19.751569910319123","17.113131725971353","-42.26370886522779","-56.80254133364079"
117494,202103,"3.289","167.09","70.81",NULL,NULL,"76.25567866117",NULL,NULL,NULL,"33.13286811150971","-16.59709391813594",NULL
119491,202003,"-0.012","19.902","19.90",NULL,"-9.544511501033215","-0.016095487006806408","-6.265856918261115","-9.139288306110593","5.962481124423258","0.00334997152775518","-37.014527042910395","36.92183906237199"
100119,202103,"52.42","2656.38","2158.07",NULL,"-39.528650627981776","-15.014612235542458","-28.49005569794355","-27.68557652639029","-38.61679376330231","7.170409808400202","-50.04456959278812","-57.96905945868268"
105693,202003,"-7.499","271.619","177.37",NULL,"26.283936818258592","43.89684812745048","18.39663098713684","19.581125845384427","64.87611140124616","15.263904413196316","69.3373649643551","55.43561023368545"
117522,202103,"58.8","935.25","546.54",NULL,"5.200730396177988","11.289291390123623","3.437774995574383","5.298376806614691","-39.509223598073795","19.61030233553447","-41.386436572594064","-45.4959462502604"
131366,201203,NULL,NULL,"72.91",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218913,202103,"0.6910000000000001","13.627","7.62",NULL,"-6.475482128813015","-100.81216713032495","-4.364972879714957","-6.902228244487086","-61.18639154430152","21.380361948023396","-4.2201928181839765","-52.361576028795085"
131369,200503,NULL,NULL,"23.59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124689,201803,"-76.362","8.568000000000001","223.91",NULL,"17.358474846871953","-133.46114544802043","11.935903792067858","3.48259691621714","11.935569238002952","-66.30216578860879","-336.44421489661784","-65.0227326047212"
285974,201703,"1.449","81.47","67.58",NULL,"-22.460022357624567","8.565819053437295","-15.598445084631074","-4.310935251078607","-49.914565447459815","6.428966031960903","-35.73994059493087","-49.699025906660765"
113349,202103,"126.42999999999999","737.95","346.72",NULL,"100.37278690317027","34.21654813392265","58.93729807682284","59.73087379259909","55.53924277100526","28.632096408763054","-34.26923665802427","-22.307141672119023"
130759,202103,"58.29299999999999","1026.3","355.48",NULL,"57.46422088591694","21.036154683608487","35.348856963625906","36.18807590016419","35.14436252296185","42.39226090378647","-46.45212119887957","-40.182973158445115"
126301,202103,"1.8969999999999998","9.812999999999999","12.74",NULL,"-0.07897855648297814","-0.113265471036339","-0.05265930410297548","8.391735473138429","-2.1072164409188354","-8.333470281726829","-31.348484861274674","-31.460466463975003"
274041,202103,NULL,NULL,"471.18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123395,202103,"583.417","4189.362","2604.83",NULL,"89.54977416582707","43.01816473309743","53.16123075983694","52.581459084247406","53.16278809663313","17.16273506042203","-23.101987823286695","-17.918143405108424"
311720,202103,"-10.65","2259.3","1127.95",NULL,"52.669050684073284","-12.028574602918807","39.26624356208548","51.992551856653236","39.78258732868029","26.055369928559614","-56.03636294516663","69.64702251317946"
130191,201703,"-2.5780000000000003","10.294","35.65",NULL,NULL,"42.692957162529055",NULL,NULL,NULL,"-33.90404581836351","45.37845937428933",NULL
100420,202103,"1656","10728","8004.57",NULL,"15.013498904193856","10.739391021697365","9.773929448135842","15.505571072313252","-12.870658381395096","10.253804880770744","-36.72649667208452","-37.24386963875482"
124820,202103,"195.15","2356.7400000000002","1446.96",NULL,"20.075705709308544","10.220283936675711","12.971813006591626","10.281985196462152","12.966935353782416","17.65716575933847","-40.985777558924966","-39.540807185953064"
132660,202103,"-45.446","149.071","861.47",NULL,"20.49149449156571",NULL,"14.175939066641686","13.113631505950007","14.174388250912962","-44.27488130027957",NULL,"4.687012824602199"
306262,202103,"-9.208","67.144","56.84",NULL,"-21.185004941401587","-97.11331046206979","-13.666526814802316","-18.542305953742535","12.92488374292824","5.7103993792721575","-17.46790272298846","33.629221740505436"
240138,202103,"12.004000000000001","316.875","219.41",NULL,"29.03138561738068","20.30043380993689","18.521436713261828","14.049505952714503","-5.380912984185848","13.034370428924568","-32.954727158904554","-34.11222284469106"
