"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
132349,202203,"416.1","292.82","4491.8","3258.81","12.607750387028371","3.0650296095106637","410.8619999999996","550.7",NULL,"19.206102775278655","15.77360328842139","19.206102775278655","17.904254116901264","19.991437372461096","17.403402971192406","-50.69414022822817","-49.36580230236605"
106767,201803,"201.323","66.00","992.878","616.17","19.086393686193905","6.584796923690524","117.6053","261.51599999999996",NULL,"74.65246877294591","49.11992802926923","74.65246877294591","58.778161971086874","10.460864835384264","26.939758891090438","-41.2633390631038","-31.262859900418107"
114215,201103,NULL,"3.93",NULL,"12.34","33.07319524133683",NULL,"4.081100000000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132532,202203,"-963.47","-1066.41","6568.089999999999","5751.79","-1.5629916947593705","2.323620717742906","-89.89999999999964","610.47",NULL,"4.9489335885967485",NULL,"4.9489335885967485","6.401170701741932","4.783593771802542","6.86070544196844",NULL,"54.637546289913864"
124683,200803,NULL,"6.98",NULL,"248.74","11.94456661662744",NULL,"29.710700000000003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210255,201403,NULL,"76.63",NULL,"587.80","35.579229553412176",NULL,"209.13439160000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126538,201803,"-8.035","-0.26","0.9970000000000001","12.22","2.046986110505638","-131.8956870611835","0.2501793999999986","-5.259999999999999",NULL,"-455.9122786361725",NULL,"-455.9122786361725","-455.9122786361725","-443.4824140010035","-71.43646356369796",NULL,"-822.1623143288512"
100111,202203,"441.65","-8054.74","24247.41","19271.73","-27.46779868750756","0.45765712709109957","-5293.52","443.87999999999994",NULL,NULL,NULL,NULL,NULL,NULL,"12.168865348193725",NULL,NULL
271867,202203,"358.34000000000003","832.43","5553.96","4935.57","28.819974187378563","4.767814316271632","1422.4299999999998","1059.2099999999998",NULL,"-34.389434196632465","-13.706996645395463","-34.389434196632465","-32.88444401728303","-34.312823208748014","6.079805778718006","-59.326375684260135","-69.23082489212457"
132876,201403,NULL,"-147.99",NULL,"60.92","9.699998030190612",NULL,"5.909200000000006",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100014,201903,"2.443","0.10","1.907","0.00","-1183812.2666666668","-21.670162558993184","-1.7757184","-1.653",NULL,"394.26713425029584","3.5173153382620725","394.26713425029584","394.26713425029584","384.40933766507055",NULL,"99.57215184188914","39.21396329234879"
318903,202203,NULL,"33.74",NULL,"604.01","9.960414628210412",NULL,"60.16199999999992",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221033,202203,"204.68","601.05","3698.9","10253.28","14.952093378899239","3.829584471058964","1533.08","566.61",NULL,"-41.6444181850814","-39.20614147354684","-41.6444181850814","-35.95876534449373","-50.42321007449976","-39.93729511832152","-49.39134139378585","-51.45067758536839"
126725,202203,"188.58599999999998","89.83","322.088","308.84","24.750071801234746","6.346324606939721","76.43780000000001","81.76300000000003",NULL,"44.89187237752237","3.4247118380763775","44.89187237752237","42.75080673428944","44.899551875485756","2.122279544070582","-49.36242383796843","-38.208677588764495"
116072,202203,"126.643","81.39","1446.5620000000001","1069.00","14.740658060631883","3.9468062896716485","157.5779","228.37199999999999",NULL,"24.739807833885564","20.385387059045136","24.739807833885564","22.378865995479536","-47.45236501416837","16.32677112373935","-48.25546722843125","-46.511872881920524"
287643,202203,"8.28","1.31","46.507999999999996","19.71","8.306312066454556","5.488303087640837","1.6369000000000007","10.21",NULL,"151.4082474188725","149.74787212998123","151.4082474188725","155.5572808775438","25.571082187563743","53.61036452432097","-18.714155561053648","-18.324835808130313"
111605,202203,"58.702999999999996","50.36","247.317","169.75","43.08036069322755","9.728304160247779","73.1293","96.239",NULL,"7.966068567279527","14.71754455676486","7.966068567279527","8.824550149737242","-51.71565851917175","20.70411979747202","-52.47972941596504","-55.30364027342313"
210036,202203,"464.696","286.95","1422.483","909.67","45.78201375777413","11.462685318559167","416.46410000000003","652.2189999999999",NULL,"27.256903812205692","25.143396503402094","27.256903812205692","27.152883344601932","27.324683665813374","25.049398266331877","-49.96248431594918","-49.350914532830444"
111447,201603,NULL,"0.01",NULL,"4.64","-5.209674952278844",NULL,"-0.24158299999999944",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
