105,"Share Warrants 3year (back)","NaN","Cr.","shares_warrants_3year","finance_bs_3_year_view","std",True,True,True
108,"Term Loans 3year (back)","NaN","Cr.","term_loans_3year","finance_bs_3_year_view","std",True,True,True
109,"Total Assets 3year (back)","NaN","Cr.","total_applications_3year","finance_bs_3_year_view","std",True,True,True
111,"Unsecured Loans 3year (back)","NaN","Cr.","unsecured_loans_nf_3year","finance_bs_3_year_view","std",True,True,True
116,"Total Current Assets 3year (back)","NaN","Cr.","currant_assets_nf_3year","finance_bs_3_year_view","std",True,True,True
117,"Total Current Liabilities 3year (back)","NaN","Cr.","current_laib_prov_nf_3year","finance_bs_3_year_view","std",True,True,True
122,"Share Capital 3year (back)","NaN","Cr.","share_capital_3year","finance_bs_3_year_view","std",True,True,True
128,"Minority Interest 3year (back)","NaN","Cr.","minority_interest_3year","finance_bs_3_year_view","std",True,True,True
131,"Loans & Advances 3year (back)","NaN","Cr.","lt_loanadv_3year","finance_bs_3_year_view","std",True,True,True
133,"Other Current Assets 3year (back)","NaN","Cr.","other_current_nf_3year","finance_bs_3_year_view","std",True,True,True
134,"Other Current Liabilities 3year (back)","NaN","Cr.","current_liabilities_nf_3year","finance_bs_3_year_view","std",True,True,True
135,"Other Assets 3year (back)","NaN","Cr.","other_assets_3year","finance_bs_3_year_view","std",True,True,True
136,"Other Liabilities 3year (back)","NaN","Cr.","other_liabilities_3year","finance_bs_3_year_view","std",True,True,True
140,"Employee Cost","NaN","Cr.","employees","finance_pl_1year_view","std",False,False,False
142,"Interest","NaN","Cr.","interest","finance_pl_1year_view","std",False,False,False
143,"Interest Earned","NaN","Cr.","interest_earned","finance_pl_1year_view","std",False,False,False
146,"Net Profit","NaN","Cr.","consolidated_netprofit","finance_pl_1year_view","std",False,False,False
148,"Operating Expenses","NaN","Cr.","operating_expenses","finance_pl_1year_view","std",False,False,False
149,"Operating Profit","NaN","Cr.","operating_profit","finance_pl_1year_view","std",False,False,False
150,"Other Income","NaN","Cr.","other_income","finance_pl_1year_view","std",False,False,False
151,"PBDT","NaN","Cr.","gross_profits","finance_pl_1year_view","std",False,False,False
152,"Power & Fuel Cost","NaN","Cr.","power_fuel","finance_pl_1year_view","std",False,False,False
153,"Profit After Tax","NaN","Cr.","profit_after_tax","finance_pl_1year_view","std",False,False,False
154,"Profit Before Tax","NaN","Cr.","profit_before_tax","finance_pl_1year_view","std",False,False,False
