Field Names
fincode
quarter.data_type
quarter.date_end
quarter.debtors_2quarters_back
quarter.depreciation_2quarters_back
quarter.ei_2quarters_back
quarter.eps_basic_2quarters_back
quarter.gross_profit_2quarters_back
quarter.interest_2quarters_back
quarter.inventory_2quarters_back
quarter.minority_interest_2quarters_back
quarter.month_end
quarter.net_profit_2quarters_back
quarter.net_profit_margin_2quarters_back
quarter.net_sales_2quarters_back
quarter.noofmonths
quarter.operating_ex_2quarters_back
quarter.operating_profit_2quarters_back
quarter.opm_2quarters_back
quarter.other_income_2quarters_back
quarter.other_netsales_2quarters_back
quarter.pbt_2quarters_back
quarter.result_type
quarter.row_num
quarter.tax_2quarters_back
quarter.year_end
quarter.inventory_3quarters_back
quarter.depreciation_3quarters_back
quarter.interest_3quarters_back
quarter.opm_3quarters_back
quarter.other_income_3quarters_back
quarter.other_netsales_3quarters_back
quarter.gross_profit_3quarters_back
quarter.ei_3quarters_back
quarter.pbt_3quarters_back
quarter.debtors_3quarters_back
quarter.operating_ex_3quarters_back
quarter.operating_profit_3quarters_back
quarter.net_sales_3quarters_back
quarter.net_profit_3quarters_back
quarter.minority_interest_3quarters_back
quarter.tax_3quarters_back
quarter.eps_basic_3quarters_back
quarter.net_profit_margin_3quarters_back
quarter.interest_earned_growth_percentage_1year
quarter.net_margin_growth_percentage_1year
quarter.eps_growth_percentage_1year
quarter.operating_profit_margin_growth_percentage_1year
quarter.operating_profit_growth_percentage_1year
quarter.operating_expenses_growth_percentage_1year
quarter.net_profit_growth_percentage_1year
quarter.net_sales_growth_percentage_1year
quarter.profit_after_tax_growth_percentage_1year
quarter.profit_before_tax_growth_percentage_1year
quarter.net_profit_last_qtr
quarter.ei_last_qtr
quarter.depreciation_last_qtr
quarter.inventory
quarter.operating_profit_last_qtr
quarter.other_income_last_qtr
quarter.debtors
quarter.pbt_last_qtr
quarter.minority_interest
quarter.tax_last_qtr
quarter.interest_last_qtr
quarter.operating_ex_last_qtr
quarter.eps_basic_last_qtr
quarter.net_profit_margin_last_qtr
quarter.other_netsales_last_qtr
quarter.net_sales_last_qtr
quarter.gross_profit_last_qtr
quarter.operating_profit_margin_last_qtr
quarter.other_netsales_last_year
quarter.ei_last_year
quarter.operating_profit_last_year
quarter.depreciation_last_year
quarter.net_profit_margin_last_year
quarter.tax_last_year
quarter.interest_last_year
quarter.net_profit_last_year
quarter.net_sales_last_year
quarter.operating_profit_margin_last_year
quarter.other_income_last_year
quarter.eps_basic_last_year
quarter.pbt_last_year
quarter.gross_profit_last_year
quarter.net_profit_latest
quarter.net_sales_latest
quarter.pbt
quarter.net_sales
quarter.eps_basic
quarter.gross_profit
quarter.other_netsales
quarter.qoq_net_profit_margin_growth
quarter.net_profit_margin
quarter.interest
quarter.yoy_operating_profit_growth
quarter.qoq_sales_growth
quarter.yoy_operating_profit_margin_growth
quarter.depreciation
quarter.qoq_eps_basic_growth
quarter.yoy_net_profit_margin_growth
quarter.ei
quarter.other_income
quarter.operating_ex
quarter.yoy_eps_basic_growth
quarter.qoq_operating_profit_growth
quarter.tax
quarter.qoq_operating_profit_margin_growth
quarter.yoy_net_profit_growth
quarter.operating_profit
quarter.yoy_sales_growth
quarter.qoq_net_profit_growth
quarter.operating_profit_margin
quarter.eps_basic_ttm
quarter.net_margin_ttm
quarter.raw_material_cost_ttm
quarter.net_profit_ttm
quarter.opm_ttm
quarter.depreciation_ttm
quarter.employee_cost_ttm
quarter.interest_ttm
quarter.net_sales_ttm
quarter.operating_expenses_ttm
quarter.share_associate_ttm
quarter.total_income_ttm
quarter.interest_earned_ttm
quarter.provisions_contingency_ttm
quarter.pbt_ttm
quarter.tax_ttm
quarter.other_income_ttm
quarter.minority_interest_ttm
quarter.operating_profit_ttm
quarter.pat_ttm
quarter.net_sales_2year_avg
quarter.eps_basic_2year_avg
quarter.operating_ex_2year_avg
quarter.operating_profit_2year_avg
quarter.net_profit_growth_2year_avg
quarter.net_profit_2year_avg
quarter.sales_growth_2year_avg
quarter.operating_profit_1year_avg
quarter.sales_growth_1year_avg
quarter.net_sales_1year_avg
quarter.operating_ex_1year_avg
quarter.net_profit_growth_1year_avg
quarter.net_profit_1year_avg
quarter.eps_basic_1year_avg
quarter.net_profit_3year_avg
quarter.operating_ex_3year_avg
quarter.eps_basic_3year_avg
quarter.operating_profit_3year_avg
quarter.sales_growth_3year_avg
quarter.net_profit_growth_3year_avg
quarter.net_sales_3year_avg
symbol
market_cap
price.date
price.high_5yr
price.low_5yr
price.low_3yr
price.ema_21
price.up_from_52wk_low
price.year_end
price.ema_50
price.ltp
price.rsi
price.52_week_low
price.book_value_cons
price.dma_50
price.down_from_52wk_high
price.ema_100
price.market_cap
price.book_value
price.dma_21
price.ema_200
price.data_type
price.dma_100
price.dma_200
price.52_week_high
price.high_3yr
price.return_prev_day
price.return_1d
price.return_1yr
price.return_2yr_cagr
price.close_prev_day
price.close_current
price.return_6mo
price.return_3yr_cagr
price.return_5yr_cagr
price.return_1mo
price.return_5d
price.return_3mo
industry
compname
nse_sublisting
